Time,Hand,Node 1,Node 2,Node 3,Node 4,Node 5,Node 6,Node 7,Node 8,Node 9,Node 10,Node 11,Node 12,Node 13,Node 14,Node 15,Node 16,Node 17,Node 18,Node 19,Node 20,Node 21
12-05-2022 @ 13:31:35,Left,(932.5730466842651:973.6799240112305:-7.0226158221942114e-09),(832.2363710403442:961.9536209106445:-0.042730577290058136),(755.3346276283264:898.3259582519531:-0.06340504437685013),(712.4005937576294:832.8564834594727:-0.08566000312566757),(682.4657249450684:786.5214157104492:-0.10963814705610275),(781.142156124115:743.4283447265625:-0.0033057755790650845),(751.3987970352173:650.8844375610352:-0.0250417347997427),(740.6392979621887:592.8465270996094:-0.049542441964149475),(735.4064154624939:543.4951400756836:-0.06959667801856995),(835.0335073471069:713.547477722168:-0.00804873276501894),(817.7906799316406:597.0323181152344:-0.02633322961628437),(811.0515975952148:522.9996871948242:-0.06048120558261871),(809.2779278755188:462.6097011566162:-0.08946660161018372),(890.9122467041016:709.2891311645508:-0.020835058763623238),(886.4384508132935:594.2520332336426:-0.04457990825176239),(883.1634092330933:522.6547050476074:-0.08154531568288803),(882.9144144058228:466.8720817565918:-0.10952872037887573),(950.635085105896:725.1465225219727:-0.04011378064751625),(982.1174168586731:640.8666801452637:-0.0648764967918396),(1003.8436317443848:582.9027557373047:-0.08883608132600784),(1022.0866870880127:532.0841217041016:-0.10782471299171448)
12-05-2022 @ 13:31:35,Right,(374.56562876701355:1031.1939239501953:1.0306339781607221e-08),(451.60496950149536:976.4064788818359:-0.032713428139686584),(501.7895293235779:900.3703880310059:-0.0516950897872448),(531.8084049224854:835.1891899108887:-0.07253685593605042),(570.1644229888916:794.8991775512695:-0.09483283013105392),(405.129132270813:786.0115242004395:-0.012061377055943012),(411.49906754493713:688.6586380004883:-0.028743743896484375),(409.1683781147003:629.5076179504395:-0.04446461424231529),(406.3333582878113:578.620777130127:-0.05734910070896149),(345.6685173511505:784.1841888427734:-0.017714446410536766),(335.38888692855835:677.4247169494629:-0.028611373156309128),(326.50795340538025:612.0604705810547:-0.04792891815304756),(318.86494517326355:557.270450592041:-0.06514696031808853),(296.45512104034424:804.2574691772461:-0.029295461252331734),(276.63936853408813:712.6820755004883:-0.04375175014138222),(266.34329080581665:653.5858154296875:-0.0653911754488945),(261.18553161621094:602.9455947875977:-0.08209718763828278),(252.75994062423706:841.6057205200195:-0.046028271317481995),(219.6920371055603:777.5606918334961:-0.060934361070394516),(203.86042714118958:734.1716194152832:-0.07546567916870117),(194.54119384288788:692.2783470153809:-0.08704262226819992)
12-05-2022 @ 13:31:35,Left,(935.4492330551147:975.7673263549805:-6.900086280126061e-09),(834.8736691474915:964.332160949707:-0.04360445961356163),(756.8865323066711:900.5945205688477:-0.06474699825048447),(713.0483794212341:834.8271560668945:-0.08720054477453232),(683.5202193260193:787.7061080932617:-0.11142729967832565),(781.8803858757019:746.5021705627441:-0.0055852895602583885),(753.3176279067993:653.6584281921387:-0.0282497126609087),(743.2213640213013:595.3904914855957:-0.053360484540462494),(738.3574676513672:545.7854461669922:-0.0738624781370163),(835.7137370109558:716.3894462585449:-0.010068025439977646),(817.9149198532104:599.5432662963867:-0.029551923274993896),(810.6158566474915:525.325927734375:-0.06458310037851334),(808.3799886703491:464.3796730041504:-0.09429637342691422),(892.2036981582642:711.9287109375:-0.022544754669070244),(887.8686261177063:596.286792755127:-0.04759109392762184),(885.3322005271912:524.1176605224609:-0.08545955270528793),(886.0695934295654:467.91117668151855:-0.11402567476034164),(952.4412631988525:727.8101921081543:-0.041483499109745026),(984.6783685684204:644.1080474853516:-0.06743501871824265),(1007.2196102142334:586.3740921020508:-0.09216096997261047),(1026.4595460891724:535.6194877624512:-0.11165627092123032)
12-05-2022 @ 13:31:35,Right,(375.7249867916107:1031.8242645263672:1.0353468304913349e-08),(452.4445867538452:976.6497802734375:-0.03360338509082794),(501.9634008407593:901.1145401000977:-0.05348259210586548),(531.1879777908325:836.0086441040039:-0.07519414275884628),(569.4335317611694:794.9138832092285:-0.09844634681940079),(404.9696481227875:785.7123756408691:-0.013429810293018818),(410.5100727081299:688.2681083679199:-0.03097148798406124),(407.76935935020447:629.0746307373047:-0.047381460666656494),(404.41919445991516:578.0473709106445:-0.06078550964593887),(345.2515411376953:784.3276977539062:-0.019248414784669876),(333.8963985443115:677.4819946289062:-0.03108309954404831),(324.52832221984863:612.0039367675781:-0.0511896014213562),(316.4229226112366:556.9575119018555:-0.06896580755710602),(295.83540201187134:805.0242805480957:-0.031087685376405716),(274.6295464038849:713.3687210083008:-0.04646024480462074),(263.55827271938324:654.0608024597168:-0.06892002373933792),(257.74827003479004:603.1146812438965:-0.0861843079328537),(252.19072222709656:843.1834602355957:-0.04810290038585663),(218.16327452659607:778.9494895935059:-0.0638292208313942),(202.0360153913498:735.5080032348633:-0.07888401299715042),(192.68039524555206:693.5088157653809:-0.09085529297590256)
12-05-2022 @ 13:31:35,Left,(937.7725839614868:978.1024932861328:-7.250979372486199e-09),(837.8502774238586:967.4330520629883:-0.04570317640900612),(759.9812650680542:903.9888381958008:-0.06883979588747025),(716.1157536506653:838.1103515625:-0.09291603416204453),(684.7740125656128:790.31982421875:-0.11880684643983841),(783.2022857666016:749.8816108703613:-0.011371412314474583),(754.1858911514282:655.850830078125:-0.03641320765018463),(744.0726327896118:596.8477821350098:-0.06269598752260208),(739.159426689148:546.3934135437012:-0.08405818790197372),(836.5203952789307:720.124626159668:-0.015947019681334496),(817.9348754882812:602.4013710021973:-0.03819618374109268),(810.4484868049622:527.8537559509277:-0.07440369576215744),(807.9313731193542:466.2656879425049:-0.10494349151849747),(892.5956010818481:716.2034225463867:-0.028522079810500145),(887.8132653236389:599.1332817077637:-0.056359097361564636),(885.4823184013367:526.6204833984375:-0.09562069177627563),(886.1976957321167:469.7721290588379:-0.12496452778577805),(952.2843861579895:732.8398132324219:-0.04754522070288658),(984.9478983879089:648.318042755127:-0.07593514770269394),(1007.6706075668335:589.6784019470215:-0.10211388021707535),(1026.8076753616333:537.6705551147461:-0.1225944459438324)
12-05-2022 @ 13:31:35,Right,(376.7829895019531:1031.663589477539:1.040671993024489e-08),(453.58839869499207:976.1540222167969:-0.03416822478175163),(502.84968852996826:901.1047554016113:-0.05451960861682892),(531.299729347229:836.2148666381836:-0.07643201947212219),(567.0332551002502:794.8467063903809:-0.09980804473161697),(405.3106641769409:786.0217094421387:-0.015656210482120514),(409.4056248664856:688.4229469299316:-0.03380751237273216),(405.7326936721802:629.2593383789062:-0.050389017909765244),(401.41661167144775:578.2401466369629:-0.06381413340568542),(345.31800627708435:784.8682594299316:-0.021042048931121826),(332.45888471603394:677.5769805908203:-0.03368818387389183),(322.5084900856018:611.8235778808594:-0.05382368713617325),(313.771687746048:556.6599655151367:-0.07151994109153748),(295.8759570121765:805.7242584228516:-0.032319482415914536),(272.8951120376587:714.0960502624512:-0.04825552925467491),(260.9518575668335:655.0684547424316:-0.0705408975481987),(254.30965662002563:604.3409729003906:-0.08754447847604752),(252.36670196056366:844.0948104858398:-0.04875430464744568),(217.07488775253296:780.0709533691406:-0.0647042989730835),(200.5138510465622:736.8985176086426:-0.07961450517177582),(190.88266611099243:695.2375030517578:-0.09139388054609299)
12-05-2022 @ 13:31:35,Left,(938.5334086418152:980.3067398071289:-7.508395682975788e-09),(838.8628005981445:969.3021011352539:-0.04488749802112579),(760.9322476387024:905.3195571899414:-0.06761252880096436),(717.1996665000916:838.967170715332:-0.09134701639413834),(685.0344014167786:791.7783737182617:-0.11693020164966583),(784.1479897499084:751.0335159301758:-0.011321162804961205),(755.4421305656433:656.2495422363281:-0.03662066534161568),(745.2513027191162:596.7364311218262:-0.0631537139415741),(739.9067974090576:545.4615211486816:-0.08481790870428085),(837.5026631355286:721.1968803405762:-0.01646914705634117),(818.9922666549683:603.1442070007324:-0.03896093741059303),(811.4606237411499:528.3685111999512:-0.07541344314813614),(808.5702753067017:466.6110420227051:-0.10630874335765839),(893.7763953208923:717.777099609375:-0.02955057844519615),(888.9014267921448:599.6493530273438:-0.05803170055150986),(886.6552591323853:526.8360900878906:-0.0978621244430542),(887.0539212226868:469.7690963745117:-0.12767484784126282),(953.3810448646545:735.5004501342773:-0.04895959794521332),(987.0702767372131:650.8182334899902:-0.07814831286668777),(1010.2582097053528:591.6886138916016:-0.10490260273218155),(1029.6229004859924:539.2394828796387:-0.1258329302072525)
12-05-2022 @ 13:31:35,Right,(378.3702027797699:1032.3912048339844:1.0489366708554826e-08),(455.0139391422272:976.578483581543:-0.034876879304647446),(503.6351680755615:901.5789413452148:-0.05568136274814606),(531.3448548316956:836.334056854248:-0.07795335352420807),(566.5774297714233:794.1898727416992:-0.10173138976097107),(405.6797468662262:786.7789077758789:-0.016882898285984993),(409.255667924881:688.5122680664062:-0.03564707189798355),(405.38215041160583:629.0236473083496:-0.052619755268096924),(400.78617453575134:577.7350616455078:-0.06629064679145813),(345.62538743019104:785.855541229248:-0.02213067002594471),(331.89809918403625:678.0408668518066:-0.03547333925962448),(321.61019682884216:612.1317100524902:-0.056064486503601074),(312.64963388442993:556.9854354858398:-0.07403455674648285),(296.2143337726593:806.8755912780762:-0.03330858424305916),(272.3308825492859:714.9549293518066:-0.04991548880934715),(259.93077278137207:655.7823944091797:-0.07271062582731247),(252.9890763759613:604.9605560302734:-0.08999580889940262),(252.7904212474823:845.4850959777832:-0.04966651648283005),(216.79447889328003:781.2238311767578:-0.0662708580493927),(199.87472355365753:737.859992980957:-0.0816434696316719),(190.116965174675:696.0726356506348:-0.09370868653059006)
12-05-2022 @ 13:31:35,Left,(940.6342220306396:981.8741226196289:-7.030832360754857e-09),(840.688226222992:970.5857849121094:-0.04482771456241608),(762.677915096283:906.3729858398438:-0.06763367354869843),(719.2036628723145:840.1492309570312:-0.09136469662189484),(686.7491054534912:793.8351631164551:-0.11700889468193054),(785.5950951576233:752.7768516540527:-0.012925198301672935),(757.3332810401917:658.0819129943848:-0.03910363093018532),(747.2755765914917:598.5776138305664:-0.06621309369802475),(741.9945430755615:547.2808456420898:-0.0882115587592125),(838.8776063919067:722.9743194580078:-0.018182361498475075),(820.1225280761719:604.8432540893555:-0.04171960800886154),(812.6190805435181:530.0894737243652:-0.07875332981348038),(809.7441816329956:468.2414245605469:-0.11004768311977386),(895.3284287452698:719.6507263183594:-0.03125334531068802),(890.1751756668091:601.2422561645508:-0.06049035117030144),(888.0827307701111:528.6076354980469:-0.10064090043306351),(888.5843253135681:471.51354789733887:-0.13067206740379333),(954.8611736297607:737.6370620727539:-0.050595756620168686),(988.5998439788818:653.5925674438477:-0.08027433604001999),(1011.9864320755005:594.437427520752:-0.10734333097934723),(1031.508708000183:541.6963005065918:-0.12852627038955688)
12-05-2022 @ 13:31:35,Right,(381.64936423301697:1033.7434387207031:1.0607563716291679e-08),(457.6564836502075:977.1581268310547:-0.0337509922683239),(505.10435342788696:901.6216850280762:-0.05388670042157173),(531.9338035583496:836.3103103637695:-0.07587171345949173),(566.935601234436:793.9949226379395:-0.09939111024141312),(406.19914054870605:787.331371307373:-0.01425277441740036),(409.1387987136841:689.4481658935547:-0.03281722962856293),(405.74585795402527:629.9321365356445:-0.049786631017923355),(401.8667721748352:578.2353401184082:-0.06343963742256165),(346.499605178833:786.5354347229004:-0.02026035450398922),(332.1563959121704:679.0292358398438:-0.033217620104551315),(322.09009766578674:613.1827926635742:-0.053712762892246246),(313.2285404205322:557.4406242370605:-0.0716259777545929),(297.37298369407654:807.7876281738281:-0.03238416835665703),(273.052214384079:715.8014488220215:-0.0486527644097805),(260.3154981136322:656.8083572387695:-0.07126158475875854),(252.90902853012085:605.701732635498:-0.08846981823444366),(254.09468293190002:846.8503761291504:-0.049705151468515396),(217.1634328365326:782.1623611450195:-0.06621233373880386),(199.5968896150589:738.5012054443359:-0.08154841512441635),(189.07370388507843:696.0568428039551:-0.09360260516405106)
12-05-2022 @ 13:31:36,Left,(941.6333556175232:982.5496673583984:-7.1951924418556246e-09),(842.0571184158325:971.2330627441406:-0.044805124402046204),(764.1194200515747:907.5357627868652:-0.06781530380249023),(720.9633636474609:841.3426780700684:-0.09169020503759384),(689.2666053771973:794.1640663146973:-0.11741520464420319),(787.0433592796326:753.6962127685547:-0.013267610222101212),(758.7433075904846:659.0301132202148:-0.03924258053302765),(748.485209941864:599.7524642944336:-0.06629297882318497),(743.0432438850403:548.7384796142578:-0.08828803896903992),(840.2864098548889:723.6807632446289:-0.018337098881602287),(821.2221479415894:605.5492401123047:-0.0417877621948719),(813.1578183174133:530.8108520507812:-0.07888782769441605),(809.7779774665833:469.17757987976074:-0.11026908457279205),(896.7454719543457:720.1200485229492:-0.031111078336834908),(891.5777349472046:601.8991470336914:-0.060163095593452454),(889.3332409858704:528.8005828857422:-0.10036866366863251),(889.7140073776245:471.6540241241455:-0.1305030733346939),(956.3819217681885:737.7370834350586:-0.05009884387254715),(990.3371429443359:653.7131309509277:-0.07950659096240997),(1014.1650080680847:594.9201965332031:-0.10642310231924057),(1034.0604543685913:542.9565811157227:-0.12754838168621063)
12-05-2022 @ 13:31:36,Right,(381.92970871925354:1033.312110900879:1.0639062075767924e-08),(459.04130816459656:976.6303253173828:-0.03445133566856384),(507.06258058547974:902.006778717041:-0.054346513003110886),(534.2336905002594:836.9131851196289:-0.07586397975683212),(568.9527297019958:794.421329498291:-0.09882932156324387),(407.97120094299316:787.4093627929688:-0.013137707486748695),(410.5245566368103:689.6451759338379:-0.031047208234667778),(406.8565821647644:629.9647521972656:-0.04779784008860588),(402.72805094718933:577.9827117919922:-0.06128425896167755),(348.02186608314514:786.672248840332:-0.018264124169945717),(333.846960067749:679.3413162231445:-0.030368931591510773),(323.78520011901855:613.3791732788086:-0.05072430893778801),(314.9717617034912:557.552490234375:-0.06852462142705917),(298.4667778015137:807.6807975769043:-0.029633739963173866),(273.85568618774414:715.4461669921875:-0.04540565237402916),(260.5140084028244:656.4105033874512:-0.06820354610681534),(252.7774178981781:605.174674987793:-0.08550315350294113),(254.7469264268875:846.3613128662109:-0.04624822363257408),(217.93095231056213:781.5723037719727:-0.06231239065527916),(199.9804723262787:738.3710289001465:-0.07761935144662857),(189.02690470218658:696.4361572265625:-0.08963165432214737)
