Time,Hand,Node 1,Node 2,Node 3,Node 4,Node 5,Node 6,Node 7,Node 8,Node 9,Node 10,Node 11,Node 12,Node 13,Node 14,Node 15,Node 16,Node 17,Node 18,Node 19,Node 20,Node 21
13-06-2022 @ 09:57:29,Left,(321.4064407348633:361.10947608947754:4.376007112227853e-09),(335.4190444946289:339.3618392944336:-1.7357271644868888e-05),(342.4104309082031:311.8652057647705:-0.01107961405068636),(346.3433074951172:290.0433826446533:-0.02310999296605587),(352.2504425048828:273.66125106811523:-0.03677115589380264),(314.27385330200195:294.0600872039795:-0.03441207483410835),(300.76412200927734:260.18932342529297:-0.05023826286196709),(291.0190010070801:240.86912155151367:-0.057461466640233994),(281.86248779296875:225.856032371521:-0.06288280338048935),(298.6856460571289:301.0777187347412:-0.04469441622495651),(279.27940368652344:266.8347930908203:-0.06211109086871147),(265.95592498779297:248.2412052154541:-0.06807339936494827),(254.21396255493164:234.7684907913208:-0.072428859770298),(285.07762908935547:312.37598419189453:-0.05301414057612419),(267.27556228637695:280.16990661621094:-0.06918337196111679),(255.73606491088867:259.53394889831543:-0.07523044943809509),(246.10803604125977:243.8079071044922:-0.07881096750497818),(273.1696128845215:326.6609859466553:-0.06071080267429352),(256.9424819946289:303.2287788391113:-0.07360328733921051),(247.11069107055664:288.25464248657227:-0.07855496555566788),(238.2333755493164:275.36876678466797:-0.08238224685192108)
13-06-2022 @ 09:57:29,Left,(322.56397247314453:363.87248039245605:3.6348526410989734e-09),(336.0894775390625:340.5860710144043:-0.0005671796388924122),(342.9356002807617:312.84607887268066:-0.012151317670941353),(346.8486785888672:290.7344627380371:-0.024566857144236565),(352.9471969604492:273.3703136444092:-0.038625314831733704),(314.4707489013672:295.55588722229004:-0.03627602010965347),(300.89805603027344:260.9508991241455:-0.05221281573176384),(291.2508773803711:241.5681266784668:-0.05944548174738884),(282.34710693359375:226.44001007080078:-0.06495556235313416),(298.6543273925781:302.8213119506836:-0.04641076177358627),(279.1390609741211:267.8811550140381:-0.06386614590883255),(266.33989334106445:248.74631881713867:-0.07002151757478714),(255.4671859741211:234.4569969177246:-0.07474006712436676),(285.18009185791016:314.27724838256836:-0.05445457994937897),(266.71363830566406:281.8820571899414:-0.07047062367200851),(255.4509162902832:261.02869033813477:-0.07663676142692566),(246.59427642822266:244.77301597595215:-0.08051363378763199),(273.9644241333008:328.5577583312988:-0.061904750764369965),(256.7705535888672:305.02827644348145:-0.0748765766620636),(246.72840118408203:289.5947456359863:-0.08010011911392212),(238.00928115844727:276.2434673309326:-0.08421234786510468)
13-06-2022 @ 09:57:29,Left,(320.85548400878906:364.45512771606445:2.548765865029168e-09),(335.1960754394531:341.28682136535645:0.005827481392771006),(342.7947998046875:313.5219383239746:-0.0014506576117128134),(347.4460220336914:290.6549549102783:-0.009804347530007362),(352.1613311767578:272.84193992614746:-0.019277140498161316),(313.6380958557129:295.98464012145996:-0.02837662771344185),(298.5964584350586:259.1974925994873:-0.03881905972957611),(288.4045219421387:239.62769508361816:-0.04111752286553383),(279.1716003417969:224.98177528381348:-0.04303400591015816),(297.54547119140625:302.7435493469238:-0.038188401609659195),(276.25789642333984:265.67928314208984:-0.050466906279325485),(262.45521545410156:246.61620140075684:-0.05107605829834938),(252.0416259765625:233.87929916381836:-0.051404643803834915),(283.50881576538086:313.62542152404785:-0.04529700055718422),(264.4666290283203:278.9140319824219:-0.0572478286921978),(253.24413299560547:258.187837600708:-0.058785323053598404),(245.3795051574707:243.21178436279297:-0.05882880091667175),(271.5279197692871:326.7029571533203:-0.05129316821694374),(253.67219924926758:302.95188903808594:-0.060970526188611984),(243.9623260498047:287.76835441589355:-0.06325989961624146),(236.3321876525879:275.00298500061035:-0.0646393746137619)
13-06-2022 @ 09:57:29,Left,(321.23546600341797:365.4023551940918:3.184022379087992e-09),(334.912109375:341.00440979003906:0.004021552857011557),(342.59613037109375:312.8323745727539:-0.004615608602762222),(347.36820220947266:289.9193572998047:-0.013934649527072906),(352.0298385620117:272.44751930236816:-0.024347761645913124),(313.1945037841797:296.01734161376953:-0.03233166038990021),(297.97351837158203:259.4444274902344:-0.04400862753391266),(287.768497467041:239.92957592010498:-0.04688703268766403),(278.6031723022461:225.479736328125:-0.04909072443842888),(297.1048164367676:303.0140018463135:-0.04164574667811394),(275.80718994140625:265.56178092956543:-0.054849158972501755),(261.9179153442383:246.13008499145508:-0.05579496920108795),(250.98674774169922:232.66525268554688:-0.05651701241731644),(283.32807540893555:314.08252716064453:-0.0482063852250576),(264.43979263305664:279.2731475830078:-0.060429152101278305),(253.3336639404297:258.4873867034912:-0.061810966581106186),(245.26416778564453:243.30848693847656:-0.06193731725215912),(271.8901062011719:327.1317386627197:-0.053835686296224594),(254.35434341430664:303.1995105743408:-0.06332824379205704),(244.35779571533203:287.96582221984863:-0.06539545953273773),(236.08158111572266:275.04186630249023:-0.06678623706102371)
13-06-2022 @ 09:57:29,Left,(320.73535919189453:364.57672119140625:3.736424503131275e-09),(334.5806121826172:339.62096214294434:0.005848307628184557),(342.12425231933594:311.7424964904785:-0.0027085214387625456),(346.9129180908203:288.71386528015137:-0.012089407071471214),(351.9034194946289:271.072998046875:-0.022473497316241264),(314.32180404663086:296.36449813842773:-0.03371834009885788),(298.0986022949219:258.03279876708984:-0.04536601901054382),(288.06636810302734:238.02752494812012:-0.04763783887028694),(278.9998245239258:223.19947242736816:-0.049344275146722794),(298.82701873779297:303.7229919433594:-0.04365796595811844),(276.32978439331055:265.09334564208984:-0.05672764033079147),(262.5601577758789:245.62966346740723:-0.05669611692428589),(251.87162399291992:232.25300788879395:-0.056613460183143616),(284.9564552307129:314.5554542541504:-0.050371188670396805),(264.82288360595703:278.9129161834717:-0.061920974403619766),(253.33847045898438:258.196964263916:-0.0619831345975399),(245.12496948242188:243.2380771636963:-0.06124306470155716),(273.0882453918457:326.87567710876465:-0.05591954290866852),(254.9452018737793:302.19265937805176:-0.06461403518915176),(244.69505310058594:286.9475841522217:-0.06557413935661316),(236.19510650634766:274.05604362487793:-0.06620267778635025)
13-06-2022 @ 09:57:29,Left,(321.29329681396484:364.1033935546875:3.931938330481444e-09),(334.7745132446289:339.39611434936523:0.005376261193305254),(342.2182083129883:311.32707595825195:-0.004291527438908815),(347.08106994628906:288.4980869293213:-0.014967554248869419),(352.5677490234375:271.06624603271484:-0.02687114104628563),(314.21207427978516:296.4206600189209:-0.03592947870492935),(297.60284423828125:258.17370414733887:-0.04927680641412735),(287.14683532714844:237.86996841430664:-0.053308967500925064),(277.7939987182617:222.45549201965332:-0.05633103474974632),(298.8088035583496:303.9945316314697:-0.04650619253516197),(275.83288192749023:265.74814796447754:-0.06140267848968506),(261.85787200927734:246.0813045501709:-0.06325075030326843),(251.10519409179688:232.21105098724365:-0.06457320600748062),(285.02269744873047:314.82805252075195:-0.05376804620027542),(264.5579528808594:279.78137969970703:-0.06638319790363312),(252.7718734741211:258.9520740509033:-0.06768951565027237),(244.47101593017578:243.87319564819336:-0.06801743060350418),(273.3459663391113:327.0985794067383:-0.05992024764418602),(255.0436782836914:302.41979598999023:-0.06920244544744492),(244.6717071533203:287.0642852783203:-0.07078483700752258),(236.2786865234375:274.24266815185547:-0.07213743031024933)
13-06-2022 @ 09:57:29,Left,(320.87589263916016:364.20132637023926:3.840275653033132e-09),(335.7178497314453:339.25217628479004:0.005236791912466288),(343.1062316894531:311.4546775817871:-0.003080347552895546),(348.06861877441406:288.98526191711426:-0.012039282359182835),(354.01073455810547:271.71993255615234:-0.022276761010289192),(314.8023986816406:295.8303451538086:-0.034589983522892),(298.63351821899414:259.29951667785645:-0.04676254093647003),(288.3890914916992:239.5459270477295:-0.049676649272441864),(279.0932083129883:224.55636978149414:-0.0516476146876812),(298.3633804321289:303.03857803344727:-0.04384211450815201),(276.53331756591797:266.0767936706543:-0.056895699352025986),(262.65769958496094:247.40166664123535:-0.056882571429014206),(251.39869689941406:234.32883739471436:-0.056861262768507004),(284.144287109375:313.6636734008789:-0.04999013617634773),(264.5911979675293:279.13272857666016:-0.06145109981298447),(252.83472061157227:259.05778884887695:-0.06150922179222107),(244.04779434204102:244.36918258666992:-0.060860663652420044),(272.3868179321289:325.80419540405273:-0.0550561286509037),(255.2144432067871:301.6445732116699:-0.06369894742965698),(245.09675979614258:286.54601097106934:-0.06474155187606812),(236.43089294433594:273.696928024292:-0.06546179950237274)
13-06-2022 @ 09:57:29,Left,(321.00807189941406:362.3462963104248:3.69559538526687e-09),(335.70919036865234:338.0265998840332:0.005655868910253048),(343.16272735595703:310.56026458740234:-0.001784608350135386),(348.0769729614258:287.9486560821533:-0.01019686833024025),(353.66920471191406:270.3908157348633:-0.019842132925987244),(314.2477226257324:293.9798355102539:-0.02985057421028614),(298.3089065551758:257.77198791503906:-0.04103657230734825),(288.3583068847656:238.19164752960205:-0.04416803643107414),(279.49872970581055:223.08693408966064:-0.046511344611644745),(298.27423095703125:301.2407684326172:-0.03939327970147133),(276.71857833862305:265.7959270477295:-0.05165692791342735),(263.57263565063477:247.18628883361816:-0.05260695517063141),(253.0104637145996:233.50948333740234:-0.05324156954884529),(284.3727684020996:312.03420639038086:-0.04608042910695076),(265.17797470092773:279.25689697265625:-0.05723237991333008),(253.6345672607422:259.3528461456299:-0.05825735628604889),(245.0786018371582:244.4575023651123:-0.05821926146745682),(272.8812026977539:324.5558166503906:-0.05173390731215477),(255.5670166015625:301.32582664489746:-0.060263194143772125),(245.3157615661621:286.78699493408203:-0.06163597106933594),(236.6636085510254:274.23391342163086:-0.06253065913915634)
13-06-2022 @ 09:57:29,Left,(321.33899688720703:362.1299171447754:3.731295272757507e-09),(335.70873260498047:337.7141761779785:0.006672372110188007),(343.15235137939453:310.274076461792:-0.0010101962834596634),(348.1889343261719:287.86219596862793:-0.00988671462982893),(353.83602142333984:270.51690101623535:-0.02002720907330513),(314.3300437927246:293.7791633605957:-0.030488271266222),(298.5624122619629:257.88414001464844:-0.04224134981632233),(288.5727310180664:238.29591751098633:-0.045687295496463776),(279.71933364868164:223.1242275238037:-0.04825738072395325),(298.6255645751953:301.2080669403076:-0.04089245945215225),(276.8186569213867:265.82350730895996:-0.054012518376111984),(263.3659553527832:247.36507415771484:-0.05518558248877525),(252.52906799316406:233.88547897338867:-0.055913105607032776),(284.8735046386719:312.3531246185303:-0.048284489661455154),(265.3371810913086:279.5687198638916:-0.0599808543920517),(253.4953498840332:259.8263168334961:-0.06091652438044548),(244.73800659179688:245.17290115356445:-0.06079131364822388),(273.44860076904297:325.33544540405273:-0.054525285959243774),(255.71725845336914:301.93385124206543:-0.06339351087808609),(245.3863525390625:287.3881244659424:-0.06470613926649094),(236.7186164855957:274.96776580810547:-0.06556817889213562)
13-06-2022 @ 09:57:29,Left,(320.56068420410156:361.6952133178711:3.757811395388444e-09),(335.30094146728516:338.12859535217285:0.001286027254536748),(342.9942321777344:311.12494468688965:-0.008444849401712418),(348.1534957885742:288.9575672149658:-0.018006453290581703),(354.3553924560547:271.19879722595215:-0.028661565855145454),(313.86865615844727:295.03217697143555:-0.03709636256098747),(298.5651397705078:258.74473571777344:-0.04928501695394516),(288.6124038696289:239.24055576324463:-0.05271565914154053),(279.4399833679199:224.46124076843262:-0.0552353598177433),(297.3127555847168:302.5322914123535:-0.0443035364151001),(276.7946243286133:266.0137939453125:-0.05768396705389023),(263.3669090270996:247.49027252197266:-0.05905509740114212),(252.30398178100586:234.38175201416016:-0.06008769944310188),(283.3713150024414:313.38958740234375:-0.048568543046712875),(265.2854919433594:280.07022857666016:-0.06022794544696808),(253.84113311767578:260.23515701293945:-0.061801422387361526),(245.03036499023438:245.51599502563477:-0.06228511035442352),(272.189884185791:325.764741897583:-0.05200023949146271),(256.1466407775879:301.9175720214844:-0.061075590550899506),(246.7547607421875:287.0060062408447:-0.06314744800329208),(238.56884002685547:274.5197582244873:-0.0646519884467125)
