Time,Hand,Node 1,Node 2,Node 3,Node 4,Node 5,Node 6,Node 7,Node 8,Node 9,Node 10,Node 11,Node 12,Node 13,Node 14,Node 15,Node 16,Node 17,Node 18,Node 19,Node 20,Node 21
13-06-2022 @ 09:44:15,Left,(199.0381622314453:423.259334564209:2.4459911873719875e-09),(190.94911575317383:399.3903636932373:0.0012656974140554667),(172.13823318481445:378.1086730957031:-0.002266528084874153),(157.72019386291504:359.2370796203613:-0.007057288661599159),(148.18532943725586:345.42969703674316:-0.013655874878168106),(134.38509941101074:393.24122428894043:-0.007919746451079845),(103.66350173950195:386.2217330932617:-0.014049321413040161),(81.86986923217773:381.86001777648926:-0.020246168598532677),(64.91774082183838:378.4314823150635:-0.025095844641327858),(131.39463424682617:406.42252922058105:-0.013463231734931469),(100.51742553710938:403.7874126434326:-0.01792852394282818),(77.6777982711792:401.5242576599121:-0.024115977808833122),(60.14906883239746:400.358362197876:-0.029794523492455482),(131.63686752319336:420.891752243042:-0.018159188330173492),(102.4158763885498:420.6742858886719:-0.021583501249551773),(78.87020111083984:418.0898666381836:-0.027127046138048172),(61.26630783081055:416.63872718811035:-0.03227338194847107),(134.46409225463867:435.5353546142578:-0.023549295961856842),(110.8633041381836:436.8544864654541:-0.027919242158532143),(92.80925750732422:435.88391304016113:-0.03200366348028183),(78.39219093322754:435.15732765197754:-0.03600434586405754)
13-06-2022 @ 09:44:15,Left,(184.7113037109375:435.2222442626953:1.5737396941162274e-09),(177.50627517700195:408.31515312194824:-0.0004114814510103315),(162.705078125:385.17828941345215:-0.009532563388347626),(150.15850067138672:366.88602447509766:-0.01827169395983219),(143.38987350463867:352.4886989593506:-0.027502812445163727),(121.7479133605957:398.144588470459:-0.030559785664081573),(87.24077224731445:386.7542839050293:-0.042729027569293976),(66.06193542480469:380.9169101715088:-0.04950433224439621),(48.5102653503418:376.76530838012695:-0.05382872745394707),(116.98891639709473:417.51399993896484:-0.033983681350946426),(76.15986347198486:416.9958686828613:-0.047231875360012054),(51.455698013305664:418.13767433166504:-0.05119846761226654),(32.46869087219238:420.719575881958:-0.05335079878568649),(117.4128246307373:436.1305904388428:-0.03481762111186981),(79.33068752288818:437.5216770172119:-0.04322607070207596),(56.48439407348633:438.02441596984863:-0.04216665402054787),(39.69158172607422:438.9840602874756:-0.0406576506793499),(120.9870719909668:452.2583770751953:-0.03564029186964035),(90.60590744018555:453.0667018890381:-0.038805101066827774),(72.47995376586914:452.2397518157959:-0.036723487079143524),(57.40090370178223:452.3374557495117:-0.0354447178542614)
13-06-2022 @ 09:44:15,Left,(186.47748947143555:435.44995307922363:3.266156456405156e-09),(178.05828094482422:406.23504638671875:0.007136164233088493),(161.18751525878906:384.0597152709961:0.002041475148871541),(147.92451858520508:366.7887783050537:-0.004140701610594988),(140.8770751953125:352.9188823699951:-0.010998927056789398),(121.98990821838379:397.43136405944824:-0.021634113043546677),(85.7936954498291:386.0400581359863:-0.03073783963918686),(64.63110446929932:381.06127738952637:-0.03422684222459793),(46.977996826171875:377.6788330078125:-0.03625285252928734),(116.98972702026367:417.7345561981201:-0.0286814346909523),(73.01831245422363:418.95910263061523:-0.039335984736680984),(47.07831859588623:420.986909866333:-0.04034532979130745),(28.45653533935547:423.7854766845703:-0.040596384555101395),(117.69513130187988:436.7906856536865:-0.03293406963348389),(77.1076250076294:438.92887115478516:-0.040561363101005554),(54.257588386535645:438.88378143310547:-0.03854348137974739),(38.13443183898926:439.39845085144043:-0.03604734688997269),(121.74941062927246:452.44434356689453:-0.03661053627729416),(90.37808418273926:455.1843738555908:-0.04018197953701019),(72.48714923858643:454.6154308319092:-0.038313671946525574),(58.26491832733154:454.4043731689453:-0.03683860972523689)
13-06-2022 @ 09:44:15,Left,(186.47361755371094:438.3754634857178:3.3385159081689153e-09),(178.6307144165039:408.2128429412842:0.0034538377076387405),(162.09257125854492:384.8485851287842:-0.0037400496657937765),(147.1062469482422:367.3158645629883:-0.011025015264749527),(137.48910903930664:354.0091896057129:-0.01921691559255123),(123.24132919311523:398.8298034667969:-0.02942069247364998),(86.25081062316895:386.44469261169434:-0.040431950241327286),(64.10999774932861:380.57164192199707:-0.04456990584731102),(45.51827907562256:376.6779899597168:-0.04699871689081192),(117.01602935791016:418.6801815032959:-0.03530126437544823),(71.65365695953369:418.6409854888916:-0.04780261218547821),(44.535908699035645:420.3227233886719:-0.04971000552177429),(24.464340209960938:423.43311309814453:-0.05064256861805916),(116.59238815307617:437.4097537994385:-0.038148749619722366),(75.61802387237549:438.0809497833252:-0.047743771225214005),(51.40505790710449:437.4551582336426:-0.04708144813776016),(33.712453842163086:438.05480003356934:-0.04543105140328407),(119.64303016662598:452.9849052429199:-0.04051464423537254),(88.10396194458008:454.262752532959:-0.04593318700790405),(70.02411842346191:453.030366897583:-0.04505486413836479),(55.29899597167969:452.8436851501465:-0.044141966849565506)
13-06-2022 @ 09:44:15,Left,(188.71282577514648:437.23443031311035:4.742642722987966e-09),(178.36858749389648:407.825403213501:0.005063891410827637),(160.33432006835938:384.6309185028076:-0.0011034636991098523),(145.07752418518066:367.14059829711914:-0.008196583017706871),(136.28397941589355:353.7985038757324:-0.016352616250514984),(124.6826171875:398.30065727233887:-0.02515578828752041),(87.03635215759277:386.98405265808105:-0.03554036095738411),(64.94505405426025:381.1262512207031:-0.03991462290287018),(46.13345146179199:377.07764625549316:-0.04269031062722206),(119.62474822998047:417.5977420806885:-0.03246494382619858),(74.01178359985352:418.6252498626709:-0.04366051405668259),(47.306623458862305:420.21552085876465:-0.045791465789079666),(27.313365936279297:422.7872943878174:-0.04727807641029358),(119.6033763885498:435.76483726501465:-0.03695452958345413),(78.93909931182861:438.2038879394531:-0.04479290172457695),(55.1384162902832:438.5168266296387:-0.04399832338094711),(37.78582572937012:439.55552101135254:-0.04286622256040573),(122.76217460632324:450.79336166381836:-0.041143156588077545),(91.47736549377441:453.53962898254395:-0.045211248099803925),(73.46701622009277:453.59009742736816:-0.043946731835603714),(59.02468681335449:454.3139934539795:-0.043128859251737595)
13-06-2022 @ 09:44:15,Left,(187.8921890258789:437.09821701049805:4.158207111970569e-09),(178.06800842285156:407.7414321899414:0.005412819795310497),(160.37933349609375:384.36086654663086:-0.0005935311783105135),(145.1200294494629:366.6682434082031:-0.0075173391960561275),(135.9103012084961:353.0058288574219:-0.015443488955497742),(124.40495491027832:398.2353401184082:-0.024681081995368004),(86.86944007873535:386.9428825378418:-0.03479348123073578),(64.79942321777344:381.3036632537842:-0.039088524878025055),(45.90529918670654:377.4212837219238:-0.041907183825969696),(118.9311408996582:417.7199077606201:-0.03191433846950531),(73.47392082214355:418.52917671203613:-0.043177530169487),(46.47536277770996:420.2358913421631:-0.04561212286353111),(26.096630096435547:422.9403591156006:-0.047266293317079544),(118.51106643676758:435.9304618835449:-0.036255836486816406),(78.00557136535645:438.00384521484375:-0.044252168387174606),(54.38333034515381:438.2409954071045:-0.04358634725213051),(37.04816818237305:439.1994094848633:-0.042427655309438705),(121.3410472869873:451.03589057922363:-0.040185026824474335),(90.12770652770996:453.6202812194824:-0.04441395774483681),(72.30120182037354:453.4408664703369:-0.04329264163970947),(57.9213809967041:453.95161628723145:-0.042478691786527634)
13-06-2022 @ 09:44:15,Left,(193.96484375:431.32962226867676:4.5307944063210925e-09),(182.70835876464844:402.40147590637207:0.013088919222354889),(162.03031539916992:380.8938789367676:0.011896948330104351),(145.2442169189453:364.998722076416:0.007873035967350006),(135.2828598022461:351.8927192687988:0.0022933101281523705),(126.6921329498291:393.4884452819824:-0.01115633174777031),(90.41379928588867:383.74202728271484:-0.0181301087141037),(68.39320659637451:379.1355514526367:-0.020830336958169937),(50.021538734436035:376.58517837524414:-0.022812362760305405),(121.70018196105957:411.49864196777344:-0.022367848083376884),(77.21190929412842:414.55833435058594:-0.030434073880314827),(50.63974857330322:418.01273345947266:-0.03172675520181656),(30.67615509033203:422.6576900482178:-0.03278277441859245),(122.07825660705566:429.4193744659424:-0.03082064539194107),(82.55114555358887:432.9844379425049:-0.0374513640999794),(58.358726501464844:434.7502613067627:-0.03689466416835785),(39.99823570251465:437.3471260070801:-0.03596308454871178),(126.1021614074707:445.5622959136963:-0.038398709148168564),(95.9512996673584:449.26182746887207:-0.04263419285416603),(78.324294090271:450.5156135559082:-0.04156456142663956),(63.57657432556152:452.5884819030762:-0.04073134809732437)
13-06-2022 @ 09:44:16,Left,(195.17572402954102:431.9759273529053:4.449730361955062e-09),(183.56781005859375:403.23946952819824:0.012127446010708809),(162.3935890197754:381.19462966918945:0.010175989009439945),(145.8408546447754:364.66163635253906:0.00579535448923707),(136.37914657592773:351.2900447845459:-0.00015266633999999613),(127.38629341125488:393.3885669708252:-0.014449741691350937),(90.34499168395996:384.0022087097168:-0.022017639130353928),(67.88779735565186:379.6592903137207:-0.02497377246618271),(49.14581775665283:377.3019218444824:-0.027102995663881302),(122.28109359741211:411.64106369018555:-0.025032291188836098),(77.23680019378662:414.6471118927002:-0.03351226821541786),(50.039095878601074:418.1198787689209:-0.034728214144706726),(29.71491813659668:422.85369873046875:-0.03578111156821251),(122.35357284545898:429.7822380065918:-0.03269330412149429),(82.36085891723633:432.9716205596924:-0.0392027348279953),(57.90290355682373:434.3108940124512:-0.03837210685014725),(39.46841239929199:436.7882823944092:-0.03734434023499489),(126.11654281616211:445.9214401245117:-0.03949495032429695),(95.66368103027344:449.2584800720215:-0.04342972859740257),(77.95248508453369:450.0116443634033:-0.042137473821640015),(63.31918239593506:452.041597366333:-0.04121732711791992)
13-06-2022 @ 09:44:16,Left,(201.68920516967773:420.34521102905273:5.347038811720495e-09),(188.6980438232422:394.5197868347168:0.023893576115369797),(166.6358184814453:375.5625057220459:0.030769260600209236),(148.27815055847168:360.95452308654785:0.03238929063081741),(135.93209266662598:350.8919048309326:0.03212413936853409),(131.45954132080078:387.2994804382324:0.011421957984566689),(95.56241035461426:380.22022247314453:0.0113559914752841),(73.83413314819336:377.2737121582031:0.012540570460259914),(56.33297920227051:376.7647647857666:0.012874339707195759),(126.16803169250488:401.5531539916992:-0.004067280795425177),(83.96642684936523:404.12384033203125:-0.004278274718672037),(59.04263496398926:408.3266544342041:-0.0028370781801640987),(40.958213806152344:414.3600368499756:-0.0023540572728961706),(125.69679260253906:417.1548843383789:-0.017060892656445503),(87.25805282592773:421.07751846313477:-0.01798405312001705),(64.23094749450684:426.2423515319824:-0.016090868040919304),(47.122488021850586:431.8857192993164:-0.014776884578168392),(128.76954078674316:433.08680534362793:-0.028652269393205643),(99.30227279663086:438.3077144622803:-0.030312729999423027),(80.74949264526367:441.87841415405273:-0.02863113023340702),(65.61768531799316:445.3814506530762:-0.027243470773100853)
13-06-2022 @ 09:44:16,Left,(201.29310607910156:421.11671447753906:4.697330080460915e-09),(188.74258041381836:395.57948112487793:0.022579144686460495),(166.3185691833496:376.01566314697266:0.028120514005422592),(148.05418968200684:361.56420707702637:0.028576796874403954),(136.06595993041992:351.9027900695801:0.02675647661089897),(132.17885971069336:386.95223808288574:0.005872421897947788),(95.65457344055176:379.50674057006836:0.0034746848978102207),(73.103346824646:376.09511375427246:0.0030398175586014986),(54.729251861572266:374.8876476287842:0.002309313276782632),(126.94978713989258:401.0625171661377:-0.009739482775330544),(84.67854499816895:404.4126892089844:-0.012310829944908619),(59.56278324127197:409.0184497833252:-0.01181013509631157),(41.20512008666992:415.12593269348145:-0.0119533846154809),(126.4295768737793:416.6901683807373:-0.022659029811620712),(88.27920913696289:420.51355361938477:-0.025670785456895828),(64.4390869140625:425.3601837158203:-0.024744419381022453),(46.90439224243164:430.75138092041016:-0.02401605434715748),(129.36711311340332:432.75790214538574:-0.03418094292283058),(99.86616134643555:437.841854095459:-0.03739187866449356),(81.29667282104492:441.2888717651367:-0.036389194428920746),(66.57270908355713:445.1872158050537:-0.0354996882379055)
13-06-2022 @ 09:44:16,Left,(232.52656936645508:390.7387161254883:6.227276916348501e-09),(208.70361328125:371.49659156799316:0.04116090014576912),(178.1793975830078:364.52319145202637:0.05636128410696983),(153.2161521911621:366.7684078216553:0.06289555877447128),(133.41346740722656:372.6288414001465:0.06729757785797119),(163.06739807128906:356.5242862701416:0.029279867187142372),(123.65292549133301:361.2620258331299:0.032291579991579056),(100.96220970153809:365.91118812561035:0.03677455708384514),(83.20711135864258:370.5794906616211:0.039405614137649536),(163.50990295410156:364.7013473510742:0.004455760587006807),(119.85233306884766:376.4852714538574:0.005552604794502258),(95.00852584838867:386.0993957519531:0.010464034043252468),(77.04687595367432:394.9771213531494:0.013990473002195358),(165.20416259765625:377.84448623657227:-0.01719534769654274),(124.96780395507812:388.71728897094727:-0.01698063500225544),(101.76810264587402:399.1779899597168:-0.009941467083990574),(85.06999969482422:408.56560707092285:-0.005192227195948362),(168.9725112915039:394.2197799682617:-0.03653048723936081),(137.89867401123047:402.308406829834:-0.03700616955757141),(118.99979591369629:408.3189296722412:-0.0313568077981472),(105.10665893554688:414.32836532592773:-0.027155878022313118)
13-06-2022 @ 09:44:16,Left,(248.23978424072266:377.2564888000488:6.110914885226748e-09),(222.3879623413086:361.47488594055176:0.05318448320031166),(192.00542449951172:358.4938430786133:0.07220633327960968),(170.46648025512695:363.4671878814697:0.08114989846944809),(152.4767303466797:371.6825580596924:0.08772352337837219),(174.0928840637207:353.4075450897217:0.03406868129968643),(138.25395584106445:356.71886444091797:0.03777415305376053),(116.76976203918457:361.30419731140137:0.04146331176161766),(99.99616622924805:366.23934745788574:0.04311530664563179),(174.34526443481445:362.0913505554199:0.004859629552811384),(134.25176620483398:374.36734199523926:0.005385813768953085),(110.63356399536133:384.7741985321045:0.00962752290070057),(94.31991577148438:394.64484214782715:0.011985872872173786),(176.708984375:373.7929344177246:-0.019516557455062866),(140.64672470092773:386.1390209197998:-0.01838858611881733),(119.67453002929688:396.30480766296387:-0.011499241925776005),(105.46606063842773:405.77977180480957:-0.007731462363153696),(181.67699813842773:386.8659782409668:-0.04021070897579193),(156.56320571899414:396.73954010009766:-0.03843218460679054),(141.7654037475586:404.00633811950684:-0.03256713226437569),(131.60512924194336:411.72677993774414:-0.029095491394400597)
13-06-2022 @ 09:44:16,Left,(244.4875717163086:376.19956970214844:3.431009032439647e-09),(218.88795852661133:362.1984672546387:0.04428146407008171),(189.3490982055664:359.38865661621094:0.05966237559914589),(167.64104843139648:364.48336601257324:0.06629518419504166),(151.41828536987305:372.5134563446045:0.07072977721691132),(172.1196174621582:352.6651096343994:0.02613593451678753),(136.63030624389648:357.3896312713623:0.027503125369548798),(116.12049102783203:362.64979362487793:0.03035249188542366),(100.73165893554688:368.00159454345703:0.03172379359602928),(172.88066864013672:361.53210639953613:0.000312434887746349),(134.39119338989258:375.2442741394043:-0.0007174305501393974),(112.9146957397461:385.962610244751:0.0025983836967498064),(98.18281173706055:395.4008388519287:0.004697577562183142),(176.14229202270508:373.3908176422119:-0.021605713292956352),(141.47107124328613:386.38280868530273:-0.02289346419274807),(121.11042022705078:397.2318649291992:-0.017880670726299286),(106.88865661621094:406.91625595092773:-0.01471597421914339),(181.85922622680664:386.94528579711914:-0.04043656587600708),(157.07059860229492:396.14121437072754:-0.04118036851286888),(141.98389053344727:403.56757164001465:-0.0370279997587204),(130.79224586486816:411.165132522583:-0.03424721211194992)
